OID_;Description;plot_id;PERIOD;radius;Radie_utsok;datum;east;north;Huggningsklass;Agoslag;Agoslag_utsok;Biomass_above;Biomass_below;Basal_area;Basal_Area_Pine;Basal_Area_Spruce;Basal_Area_Contorta;Volume;Volume_Pine;Volume_Spruce;Volume_Contorta;Dgv;Hgv;Mean_Age_basal_area_weighted;Ruta;Block;Skanndatum;leaveson;scanner_type;Region;N;E;id;antalTillvAr;species_type 
15027;2.02E+11;201726593120;0;10;10;2017-06-12 00:00;740629;7256041;41;1;1;78.00420918;27.07951995;21.87790294;18.128;2.558;0;139.2164974;123.446;14.19;0;18.24;12.9;89.9;72550_7400_25;18G002;2018-07-16 00:00;1;0;0;7255000;740000;18G002_72550_7400_25;1;88
15028;2.02E+11;201726594060;0;10;10;2017-06-12 00:00;740597.645;7256639.93;31;1;1;27.88701446;9.276401749;9.721001026;9.478;0.004;0;48.70372875;48.136;0.012;0;13.08;9.32;50.2;72550_7400_25;18G002;2018-07-16 00:00;1;0;0;7255000;740000;18G002_72550_7400_25;1;86
15029;2.02E+11;201726594120;0;10;10;2017-06-12 00:00;740587.398;7257222.233;31;1;1;43.95093201;15.02245389;12.27943771;8.938;2.128;0;63.06584995;45.974;11.764;0;17.32;10.16;61.1;72550_7400_25;18G002;2018-07-16 00:00;1;0;0;7255000;740000;18G002_72550_7400_25;1;96
15030;2.02E+11;201820801100;0;7;7;2018-09-01 00:00;746031.476;7257979.314;22;1;1;0.971025907;0.448361644;0.490057428;0.15;0.97;0;1.309666511;0.43;2.7;0;4.9;5.1;20.7;72575_7450_25;18G002;2018-07-16 00:00;1;0;0;7257500;745000;18G002_72575_7450_25;0;51
15031;2.02E+11;201820804050;0;7;7;2018-09-01 00:00;745049.942;7256973.36;33;1;1;172.3184753;58.18814285;40.65008167;9.6;28.4;0;321.3319373;78.75;229.31;0;19.1;16.1;67.2;72550_7450_25;18G002;2018-07-16 00:00;1;0;0;7255000;745000;18G002_72550_7450_25;0;89
15032;2.02E+11;201820804150;0;7;7;2018-09-01 00:00;745034.456;7257969.069;21;1;1;0;0;0;0;0;0;0;0.07;0.22;0;0;0;0;72575_7450_25;18G002;2018-07-16 00:00;1;0;0;7257500;745000;18G002_72575_7450_25;0;100
15033;2.02E+11;201926631060;0;10;10;2019-07-01 00:00;731215.555;7257154.991;31;1;1;18.35080237;6.142886023;5.679883282;5.684;0;0;28.92733568;29.49;0;0;15.86;9.98;49.2;72550_7300_25;18G002;2018-07-16 00:00;1;0;0;7255000;730000;18G002_72550_7300_25;-1;100
15034;2.02E+11;201926631120;0;10;10;2019-07-01 00:00;731805.422;7257172.836;31;1;1;41.33039039;13.74287987;14.4918921;14.426;0;0;77.85089052;79.484;0;0;13.48;10.46;48.2;72550_7300_25;18G002;2018-07-16 00:00;1;0;0;7255000;730000;18G002_72550_7300_25;-1;100
15035;2.02E+11;201926632060;0;10;10;2019-07-01 00:00;731890.488;7256570.627;32;1;1;47.4341917;15.71466822;14.12848005;11.782;0.504;0;90.84541438;78.2;4.218;0;16.36;13.12;60;72550_7300_25;18G002;2018-07-16 00:00;1;0;0;7255000;730000;18G002_72550_7300_25;-1;82
15036;2.02E+11;201926632120;0;10;10;2019-07-01 00:00;731938;7255990;31;1;1;8.403245368;2.734509028;2.881831412;2.888;0;0;11.49829763;11.256;0;0;13.34;7.1;45.6;72550_7300_25;18G002;2018-07-16 00:00;1;0;0;7255000;730000;18G002_72550_7300_25;-1;100
15037;2.02E+11;201926633060;0;10;10;2019-07-01 00:00;731234.372;7255887.586;31;1;1;70.36326478;23.03889717;23.41792936;20.792;2.174;0;129.881227;124.346;6.338;0;13.82;10.82;55.6;72550_7300_25;18G002;2018-07-16 00:00;1;0;0;7255000;730000;18G002_72550_7300_25;-1;97
15038;2.02E+11;201926634120;0;10;10;2019-07-01 00:00;730606.682;7257114.564;32;1;1;64.01872953;21.36739208;18.56985626;18.144;0.408;0;133.3035243;133.2;2.412;0;18;14.62;66.3;72550_7300_25;18G002;2018-07-16 00:00;1;0;0;7255000;730000;18G002_72550_7300_25;-1;96
15039;2.02E+11;201726601060;0;10;10;2017-06-15 00:00;753320;7262394;31;1;1;30.68416059;10.13627152;10.23039348;7.264;2.948;0;44.3668103;31.236;12.878;0;12.68;7.94;40.3;72600_7525_25;18G001;2018-07-17 00:00;1;0;0;7260000;752500;18G001_72600_7525_25;1;91
15040;2.02E+11;201726602120;0;10;10;2017-06-15 00:00;753925.413;7261248.628;42;1;1;98.91265495;33.8267109;21.61677976;0;15.476;0;133.5741741;0;103.204;0;19.7;13.38;135.9;72600_7525_25;18G001;2018-07-17 00:00;1;0;0;7260000;752500;18G001_72600_7525_25;1;72
15041;2.02E+11;201726603060;0;10;10;2017-06-15 00:00;753322.151;7261202.426;42;1;1;94.53060656;31.68270605;23.85573274;8.794;3.556;0;152.3566781;69.896;22.702;0;17.54;13.5;113.2;72600_7525_25;18G001;2018-07-17 00:00;1;0;0;7260000;752500;18G001_72600_7525_25;1;65
15042;2.02E+11;201726604060;0;10;10;2017-06-15 00:00;752725.581;7261804.465;42;1;1;126.2546366;47.68128019;35.06693286;12.492;9.488;0;198.8159862;77.784;57.082;0;19.38;11.68;122.3;72600_7525_25;18G001;2018-07-17 00:00;1;0;0;7260000;752500;18G001_72600_7525_25;1;52
15043;2.02E+11;201826602060;0;10;10;2018-06-13 00:00;761928;7246969;31;1;1;40.96342711;13.90488688;11.77361838;1.896;9.596;0;47.45048169;7.224;39.268;0;12.44;7.38;51.4;72450_7600_25;19G026;2019-08-27 00:00;1;0;0;7245000;760000;19G026_72450_7600_25;1;100
15044;2.02E+11;201826602120;0;10;10;2018-06-13 00:00;761951;7246391;31;1;1;72.88574681;25.89725337;20.83529117;0.93;13.954;0;107.5161566;5.262;77.582;0;11.76;10.18;61.3;72450_7600_25;19G026;2019-08-27 00:00;1;0;0;7245000;760000;19G026_72450_7600_25;1;70
15045;2.02E+11;201826603060;0;10;10;2018-06-13 00:00;761354;7246351;31;1;1;52.57448787;19.74343003;17.54630456;0.852;1.108;7.594;71.60418715;4.222;4.658;38.262;12.64;7.74;40.3;72450_7600_25;19G026;2019-08-27 00:00;1;0;0;7245000;760000;19G026_72450_7600_25;1;76
15046;2.02E+11;201826604120;0;10;10;2018-06-13 00:00;760703;7247498;32;1;1;68.48635522;22.87101534;19.29811606;2.1;0.742;16.358;117.8609778;13.09;3.024;101.59;18.76;11.88;43.5;72450_7600_25;19G026;2019-08-27 00:00;1;0;0;7245000;760000;19G026_72450_7600_25;1;87
15047;2.02E+11;202026641060;0;10;10;2020-06-12 00:00;751161.629;7252369.878;31;1;1;47.21347297;15.69661557;13.38402071;13.094;0;0;83.06659061;82.69;0;0;18.76;12.48;68.3;72500_7500_25;18G001;2018-07-17 00:00;1;0;0;7250000;750000;18G001_72500_7500_25;-2;98
15048;2.02E+11;202026642060;0;10;10;2020-06-12 00:00;751864.118;7251811.694;32;1;1;43.65342265;16.3309632;13.24559072;10.194;1.186;0;77.77943728;67.16;4.854;0;14.64;11.58;63.3;72500_7500_25;18G001;2018-07-17 00:00;1;0;0;7250000;750000;18G001_72500_7500_25;-2;97
15049;2.02E+11;202026643120;0;10;10;2020-06-12 00:00;750712.937;7251159.114;31;1;1;41.45000505;14.61375669;12.80976368;11.416;0.216;0;82.75811902;78.648;1.052;0;15.58;13;69.9;72500_7500_25;18G001;2018-07-17 00:00;1;0;0;7250000;750000;18G001_72500_7500_25;-2;91
15050;2.02E+11;202026661060;0;10;10;2020-07-17 00:00;763352;7257499;23;1;1;47.42611534;13.74096457;20.41801061;0.838;0.572;0;56.17821963;3.664;2.076;0;5.98;5.66;37.5;72550_7625_25;18G001;2018-07-17 00:00;1;0;0;7255000;762500;18G001_72550_7625_25;-2;26
15051;2.02E+11;202026662060;0;10;10;2020-07-17 00:00;763989;7256955;31;1;1;30.42302547;10.14576091;8.590220818;8.278;0;0;39.21810848;38.186;0;0;18.48;8.82;39.1;72550_7625_25;18G001;2018-07-17 00:00;1;0;0;7255000;762500;18G001_72550_7625_25;-2;64
15052;2.02E+11;202026662120;0;10;10;2020-07-17 00:00;763991.738;7256375.251;23;1;1;0;0;0;13;0.12;0;0;38.896;0.332;0;5.26;3.24;24.9;72550_7625_25;18G001;2018-07-17 00:00;1;0;0;7255000;762500;18G001_72550_7625_25;-2;85
15053;2.02E+11;202026663120;0;10;10;2020-07-17 00:00;762811.34;7256318.176;23;1;1;0;0;0.169247323;6.784;0.618;0;0;19.938;1.854;0;6.5;6.22;27.6;72550_7625_25;18G001;2018-07-17 00:00;1;0;0;7255000;762500;18G001_72550_7625_25;-2;100
15054;2.02E+11;202026664120;0;10;10;2020-07-17 00:00;762753;7257494;31;1;1;31.19623557;9.774507998;11.40666812;9.294;1.7;0;47.86282804;42.236;5.006;0;10.4;7.76;38.9;72550_7625_25;18G001;2018-07-17 00:00;1;0;0;7255000;762500;18G001_72550_7625_25;-2;96
15055;2.02E+11;201820811100;0;7;7;2018-09-10 00:00;782017.943;7258445.528;41;1;1;70.32112503;23.97853823;16.09003392;0;5;0;110.3069389;0;23.9;0;18.7;14.6;76.3;72575_7800_25;18H002;2018-07-12 00:00;1;0;0;7257500;780000;18H002_72575_7800_25;0;90
15056;2.02E+11;201826631060;0;10;10;2018-09-07 00:00;773406.7;7252709.234;31;1;1;58.46057155;18.94249674;14.23344836;1.68;7.19;0;63.11052276;8.43;33.2;0;15.6;9.2;78.9;72525_7725_25;18G001;2018-07-17 00:00;1;0;0;7252500;772500;18G001_72525_7725_25;0;59
15057;2.02E+11;201826631120;0;10;10;2018-09-07 00:00;774001.71;7252709.657;41;1;1;82.37922846;27.75946512;20.47110204;13.17;5.53;0;162.0314585;110.24;40.51;0;21.9;16.4;97.6;72525_7725_25;18G001;2018-07-17 00:00;1;0;0;7252500;772500;18G001_72525_7725_25;0;94
15058;2.02E+11;201826634060;0;10;10;2018-09-07 00:00;772810.271;7252065.114;42;1;1;31.05507302;11.14763115;8.705529605;8.21;0.5;0;50.74501746;47.98;2.62;0;21.5;11.6;145.8;72500_7725_25;18G001;2018-07-17 00:00;1;0;0;7250000;772500;18G001_72500_7725_25;0;98
15059;2.02E+11;201826641060;0;10;10;2018-06-12 00:00;786198;7257925;42;1;1;62.52121796;20.61762069;21.23481432;18.59;2.25;0;105.8730314;99.74;5.97;0;12.7;9.3;111.4;72575_7850_25;18H002;2018-07-12 00:00;1;0;0;7257500;785000;18H002_72575_7850_25;0;97
